exp_subject_id,song_id,orig_or_cover,valence,arousal
592387,2019_1,cover,2,3
592387,2009_2,cover,5,5
592387,2010_3,orig,5,6
592387,2011_1,orig,3,6
592387,2016_5,cover,3,5
592387,2019_2,orig,3,5
592387,2016_4,cover,4,5
592387,2019_3,orig,3,5
592387,2008_3,orig,2,6
592387,2015_1,orig,6,6
592387,2013_2,orig,3,6
592387,2014_5,orig,6,6
592387,2009_3,cover,3,6
592387,2016_2,cover,3,5
592387,2008_2,orig,3,5
592387,2018_5,cover,3,5
592391,2012_2,cover,6,6
592391,2009_3,orig,3,6
592391,2016_5,orig,2,5
592391,2017_5,orig,3,4
592391,2016_1,cover,5,3
592391,2019_1,orig,3,5
592391,2019_4,cover,2,3
592391,2016_2,orig,3,7
592391,2012_1,cover,4,5
592391,2011_1,cover,3,7
592391,2013_3,orig,3,7
592391,2014_2,orig,2,7
592391,2010_2,cover,3,4
592391,2015_1,cover,4,5
592391,2008_3,cover,6,6
592391,2013_5,cover,4,5
592391,2016_4,orig,4,6
592391,2009_2,orig,4,5
592391,2013_6,cover,3,4
592391,2008_2,cover,4,2
592391,2011_4,orig,2,7
592391,2018_3,cover,4,4
592391,2018_5,orig,3,4
592391,2013_1,orig,3,5
592391,2017_4,orig,6,6
592391,2012_4,cover,5,5
592391,2015_5,cover,5,5
592391,2014_4,cover,5,5
592391,2017_1,cover,4,5
592391,2015_2,cover,4,6
592391,2013_2,cover,6,5
592391,2012_3,orig,3,7
592391,2014_5,cover,5,6
592391,2015_3,orig,3,3
592391,2011_3,orig,7,7
592391,2018_4,orig,2,5
592391,2010_1,cover,6,2
592391,2018_2,orig,4,4
592391,2018_1,cover,5,5
592391,2017_2,cover,5,4
592391,2012_5,orig,3,6
592391,2014_1,cover,4,5
592391,2010_3,cover,3,6
592391,2016_3,cover,3,2
592391,2015_4,orig,7,7
592391,2017_3,cover,4,3
592391,2011_2,cover,5,5
592391,2019_2,cover,4,4
592391,2014_3,cover,6,3
592391,2019_3,cover,2,7
592391,2010_3,orig,7,6
592391,2008_3,orig,5,7
592391,2015_1,orig,5,5
592391,2014_5,orig,3,5
592391,2013_2,orig,4,5
592391,2019_3,orig,2,4
592391,2017_2,orig,4,5
592391,2013_1,cover,5,5
592391,2016_4,cover,3,3
592391,2014_2,cover,4,2
592391,2017_1,orig,3,6
592391,2017_4,cover,3,4
592391,2018_1,orig,3,5
592391,2013_5,orig,3,7
592391,2013_6,orig,3,5
592391,2017_5,cover,5,4
592391,2010_2,orig,3,3
592391,2012_2,orig,5,6
592391,2011_3,cover,5,6
592391,2009_3,cover,2,6
592391,2016_5,cover,3,5
592391,2014_3,orig,3,2
592391,2013_3,cover,2,7
592391,2011_4,cover,4,5
592391,2017_3,orig,5,4
592391,2019_1,cover,3,5
592391,2015_5,orig,6,6
592391,2014_4,orig,2,7
592391,2008_2,orig,3,5
592391,2009_2,cover,4,5
592391,2018_3,orig,3,4
592391,2015_2,orig,4,6
592391,2019_2,orig,3,6
592391,2012_5,cover,3,5
592391,2015_3,cover,3,5
592391,2015_4,cover,2,6
592391,2011_2,orig,3,7
592391,2018_5,cover,1,2
592391,2012_1,orig,2,7
592391,2012_4,orig,3,6
592391,2018_2,cover,4,5
592391,2014_1,orig,7,5
592391,2010_1,orig,7,7
592391,2016_2,cover,4,6
592391,2011_1,orig,3,7
592391,2019_4,orig,3,5
592391,2016_3,orig,4,5
592391,2016_1,orig,3,2
592391,2018_4,cover,2,6
592391,2012_3,cover,5,3
592398,2014_2,orig,6,5
592398,2016_1,cover,6,3
592398,2015_2,cover,6,2
592398,2009_2,orig,7,7
592398,2016_3,cover,5,2
592398,2012_1,cover,6,4
592398,2010_2,cover,3,3
592398,2015_3,orig,4,2
592398,2013_3,orig,6,3
592398,2012_4,cover,5,4
592398,2011_1,cover,5,3
592398,2015_4,orig,6,7
592398,2008_3,cover,5,6
592398,2017_2,cover,4,3
592398,2015_1,cover,6,4
592398,2017_4,orig,6,7
592398,2014_3,cover,7,6
592398,2018_5,orig,3,2
592398,2013_1,orig,7,4
592398,2017_3,cover,4,3
592398,2018_3,cover,5,4
592398,2016_2,orig,6,4
592398,2018_2,orig,4,2
592398,2018_1,cover,4,4
592398,2010_3,cover,4,7
592398,2012_2,cover,4,5
592398,2016_5,orig,3,3
592398,2019_3,cover,2,7
592398,2010_1,cover,2,1
592398,2011_3,orig,7,7
592398,2014_5,cover,6,6
592398,2011_4,orig,6,6
592398,2014_4,cover,6,2
592398,2019_2,cover,6,5
592398,2013_5,cover,6,4
592398,2017_5,orig,6,6
592398,2019_4,cover,3,2
592398,2016_4,orig,5,6
592398,2008_2,cover,6,5
592398,2014_1,cover,7,5
592398,2013_6,cover,5,6
592398,2018_4,orig,6,7
592398,2015_5,cover,5,5
592398,2011_2,cover,7,2
592398,2009_3,orig,7,7
592398,2019_1,orig,6,2
592398,2017_1,cover,6,3
592398,2012_3,orig,6,4
592398,2012_5,orig,6,5
592398,2013_2,cover,6,6
592398,2018_5,cover,2,6
592398,2018_4,cover,4,6
592398,2011_4,cover,6,4
592398,2012_1,orig,6,3
592398,2009_2,cover,5,3
592398,2015_1,orig,6,4
592398,2010_2,orig,4,5
592398,2008_3,orig,6,3
592398,2010_1,orig,6,6
592398,2016_1,orig,5,2
592398,2008_2,orig,4,3
592398,2013_1,cover,6,3
592398,2019_2,orig,6,4
592398,2009_3,cover,7,6
592398,2018_2,cover,4,2
592398,2013_6,orig,4,2
592398,2018_1,orig,6,5
592398,2010_3,orig,7,6
592398,2014_2,cover,3,5
592398,2019_4,orig,3,5
592398,2017_4,cover,6,5
592398,2012_3,cover,6,3
592398,2016_4,cover,5,4
592398,2015_3,cover,5,2
592398,2015_4,cover,6,7
592398,2014_5,orig,7,5
592398,2011_3,cover,7,7
592398,2011_2,orig,7,7
592398,2017_2,orig,6,5
592398,2015_5,orig,7,5
592398,2014_3,orig,5,4
592398,2012_5,cover,4,6
592398,2018_3,orig,6,6
592398,2017_1,orig,6,4
592398,2019_1,cover,3,5
592398,2016_3,orig,5,6
592398,2012_2,orig,6,4
592398,2011_1,orig,5,7
592398,2016_5,cover,2,5
592398,2014_1,orig,6,4
592398,2015_2,orig,6,5
592398,2013_5,orig,6,6
592398,2016_2,cover,4,5
592398,2012_4,orig,6,7
592398,2014_4,orig,6,5
592398,2017_5,cover,5,6
592398,2019_3,orig,6,5
592398,2017_3,orig,5,3
592398,2013_2,orig,5,4
592398,2013_3,cover,5,5
592397,2019_3,cover,5,5
592397,2015_3,orig,6,2
592397,2017_3,cover,6,6
592397,2015_4,orig,7,7
592397,2009_2,orig,2,2
592397,2014_1,cover,6,6
592397,2012_2,cover,2,2
592397,2018_5,orig,6,2
592397,2013_1,orig,5,5
592397,2010_2,cover,4,2
592397,2018_2,orig,5,6
592397,2009_3,orig,3,2
592397,2015_1,cover,7,6
592397,2019_1,orig,7,7
592397,2012_1,cover,2,7
592397,2014_3,cover,1,7
592397,2011_2,cover,1,7
592397,2016_4,orig,7,7
592397,2014_2,orig,7,7
592397,2017_1,cover,4,4
592397,2008_2,cover,6,2
592397,2014_4,cover,6,6
592397,2017_2,cover,6,2
592397,2018_1,cover,5,4
592397,2012_5,orig,7,7
592397,2019_4,cover,3,4
592397,2013_2,cover,1,7
592397,2018_3,cover,1,4
592397,2008_3,cover,2,1
592397,2012_3,orig,3,6
592397,2016_2,orig,5,6
592397,2015_2,cover,6,1
592397,2010_1,cover,1,7
592397,2010_3,cover,2,6
592397,2019_2,cover,1,7
592397,2018_4,orig,7,7
592397,2015_5,cover,4,5
592397,2014_5,cover,1,7
592397,2017_4,orig,7,7
592397,2013_5,cover,6,7
592397,2011_3,orig,1,7
592397,2011_1,cover,1,6
592397,2016_3,cover,6,1
592397,2012_4,cover,2,6
592397,2017_5,orig,5,1
592397,2011_4,orig,7,7
592397,2013_6,cover,6,6
592397,2013_3,orig,1,4
592397,2016_5,orig,7,6
592397,2016_1,cover,1,6
592397,2011_1,orig,5,6
592397,2014_3,orig,1,5
592397,2013_3,cover,1,6
592397,2011_3,cover,1,6
592397,2012_3,cover,6,1
592397,2017_3,orig,6,6
592397,2018_4,cover,2,5
592397,2014_4,orig,6,7
592397,2013_2,orig,6,6
592397,2016_5,cover,1,7
592397,2014_2,cover,6,7
592397,2016_2,cover,4,6
592397,2014_5,orig,6,6
592397,2008_2,orig,5,4
592397,2013_1,cover,2,2
592397,2014_1,orig,6,7
592397,2010_2,orig,6,2
592397,2018_2,cover,2,2
592397,2013_6,orig,7,7
592397,2011_2,orig,5,6
592397,2011_4,cover,1,1
592397,2018_5,cover,6,1
592397,2017_1,orig,6,6
592397,2016_4,cover,7,2
592397,2010_3,orig,2,1
592397,2016_1,orig,6,2
592397,2015_1,orig,7,6
592397,2018_3,orig,1,7
592397,2019_4,orig,7,6
592397,2012_5,cover,1,7
592397,2008_3,orig,6,1
