Submission id,,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Hearing difficulties,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666c71619debcbbdc1816e49,,APPROVED,Not Applicable,2024-06-14T16:36:04.374000Z,2024-06-14T17:03:50.885000Z,2024-06-14T18:11:15.097000Z,2024-06-14T17:03:51.559115Z,1667,C12CKKMA,196,English,No,Yes,20,Male,Asian,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66704969a19cdef8085ce035,,APPROVED,Not Applicable,2024-06-17T14:35:54.970000Z,2024-06-17T15:06:48.069000Z,2024-06-17T17:52:58.456000Z,2024-06-17T15:07:58.927260Z,1854,C12CKKMA,135,English,No,Yes,21,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
666c6e8b12f960dc41d0816b,,APPROVED,Not Applicable,2024-06-14T16:23:44.540000Z,2024-06-14T17:10:35.821000Z,2024-06-14T18:11:13.102000Z,2024-06-14T17:12:59.111950Z,2812,C12CKKMA,211,English,No,Yes,22,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
666c6fe063916772c9816e34,,APPROVED,Not Applicable,2024-06-14T16:29:27.638000Z,2024-06-14T16:52:07.190000Z,2024-06-14T18:11:14.461000Z,2024-06-14T16:52:07.678378Z,1360,C12CKKMA,797,English,No,Yes,24,Female,Black,United States,United States,United States,English,Yes,Due to start a new job within the next month
66704aaaf5f945d019245d3f,,APPROVED,Not Applicable,2024-06-17T14:42:11.844000Z,2024-06-17T16:07:26.616000Z,2024-06-17T17:52:59.624000Z,2024-06-17T16:10:02.928179Z,5115,C12CKKMA,88,English,No,Yes,25,Female,Mixed,United States,United States,United States,English,No,Full-Time
667049e74bd4a99a00f3b85f,,APPROVED,Not Applicable,2024-06-17T14:36:29.625000Z,2024-06-17T15:06:32.893000Z,2024-06-17T17:52:58.854000Z,2024-06-17T15:07:51.346077Z,1804,C12CKKMA,735,English,No,Yes,26,Male,Other,United States,United States,United States,English,Yes,Full-Time
667053e032e73530f7ef4001,,APPROVED,Not Applicable,2024-06-17T15:21:09.795000Z,2024-06-17T15:52:38.857000Z,2024-06-17T17:53:04.901000Z,2024-06-17T15:52:39.503899Z,1890,C12CKKMA,439,English,No,Yes,27,Male,White,United States,United States,United States,English,No,Full-Time
6670495dc99f10f913bff3d7,,APPROVED,Not Applicable,2024-06-17T14:35:16.363000Z,2024-06-17T15:39:19.588000Z,2024-06-17T17:52:58.263000Z,2024-06-17T15:40:18.775872Z,3844,C12CKKMA,509,"English, Other",No,Yes,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
66704c9421e6cab958ad926a,,APPROVED,Not Applicable,2024-06-17T14:48:28.512000Z,2024-06-17T15:15:34.473000Z,2024-06-17T17:53:01.028000Z,2024-06-17T15:18:03.348460Z,1626,C12CKKMA,6968,English,No,Yes,28,Female,White,United States,United States,United States,English,No,Full-Time
666c6d8d33aa95ee79c11bc5,,APPROVED,Not Applicable,2024-06-14T16:19:31.642000Z,2024-06-14T16:45:00.193000Z,2024-06-14T18:11:12.818000Z,2024-06-14T16:45:12.086775Z,1529,C12CKKMA,139,English,No,Yes,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66704d388479de6f3cc536d8,,APPROVED,Not Applicable,2024-06-17T14:57:20.399000Z,2024-06-17T15:30:52.709000Z,2024-06-17T17:53:02.195000Z,2024-06-17T15:31:07.547834Z,2013,C12CKKMA,13,English,No,Yes,29,Female,Other,United States,United States,United States,English,No,Other
66704e77ed47d583c562d56b,,APPROVED,Not Applicable,2024-06-17T14:56:13.057000Z,2024-06-17T15:39:10.606000Z,2024-06-17T17:53:04.308000Z,2024-06-17T15:40:17.652180Z,2578,C12CKKMA,3,English,No,Yes,30,Male,Black,Ghana,United States,United States,English,No,Full-Time
666c6cc7f09588c5755d457b,,APPROVED,Not Applicable,2024-06-14T16:16:47.289000Z,2024-06-14T16:51:06.713000Z,2024-06-14T18:10:49.798000Z,2024-06-14T16:51:07.176670Z,2060,C12CKKMA,122,English,No,Yes,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
666c70447365c4a932ef8fae,,APPROVED,Not Applicable,2024-06-14T16:31:07.089000Z,2024-06-14T16:53:42.833000Z,2024-06-14T18:11:14.738000Z,2024-06-14T16:53:43.523421Z,1356,C12CKKMA,3288,English,No,Yes,30,Female,Black,United States,United States,United States,English,No,Full-Time
